Category,Treatment Name,Price,Duration,Online,Menu,Widget,Top Pick,Current Description,Proposed Description
Adicionales en Cabina,Exfoliación Corporal (20min) - venta cabina,$29,20 min,Sí,No,No,No,"(sin descripción)","Renueva tu piel con una exfoliación completa de sales naturales, disponible durante tu sesión."
Adicionales en Cabina,Exfoliación de pies (10 min) - venta cabina,$15,10 min,Sí,No,No,No,"(sin descripción)","Exfoliación de pies disponible como complemento durante tu tratamiento."
Adicionales en Cabina,Exfoliación e Hidratación Corporal (35 min),$49,35 min,Sí,No,No,No,"(sin descripción)","Combo de exfoliación y nutrición profunda para una piel completamente renovada."
Adicionales en Cabina,Extra Cráneo Facial (20 min) - venta cabina,$29,20 min,Sí,No,No,No,"(sin descripción)","Masaje de cabeza y rostro extendido, disponible durante tu sesión."
Adicionales en Cabina,Extra Masaje (10 min) - venta cabina,$15,10 min,Sí,No,No,No,"(sin descripción)","Minutos adicionales de masaje para las zonas que más lo necesitan."
Adicionales en Cabina,Extra Piedras Calientes (15 min) - venta cabina,$20,15 min,Sí,No,No,No,"(sin descripción)","Extensión de terapia con piedras calientes durante tu sesión."
Adicionales en Cabina,Facial básico 30 min venta en cabina,$29,30 min,Sí,No,No,No,"(sin descripción)","Limpieza facial básica disponible como complemento durante tu visita."
Adicionales en Cabina,Hidratación Corporal (15 min) - venta cabina,$20,15 min,No,No,No,No,"(sin descripción)","Hidratación con crema de seda disponible durante tu sesión."
Adicionales en Cabina,Liberador de tensión 45 min venta cabina,$59,45 min,Sí,No,No,No,"(sin descripción)","Masaje focalizado en zonas de tensión, disponible durante tu visita."
Adicionales en Cabina,Liberador de tensión nuevo 30 min venta cabina,$49,30 min,Sí,No,No,No,"(sin descripción)","Alivio de tensión concentrado en 30 minutos, disponible en cabina."
Adicionales en Cabina,Luz Led - Led Therapy - 20 min,$29,20 min,No,No,No,No,"(sin descripción)","Terapia de luz LED para potenciar los resultados de tu tratamiento facial."
Adicionales en Cabina,Masaje Cráneo Facial - 15 min,$20,15 min,Sí,No,No,No,"(sin descripción)","Masaje de cabeza y rostro de 15 minutos disponible como complemento."
Adicionales en Cabina,Masaje Oriental de Pies - 30 min,$39,30 min,Sí,No,No,No,"(sin descripción)","Reflexología de pies en versión express, disponible durante tu sesión."
Adicionales en Cabina,Masaje Piernas Cansadas (20 min) - venta cabina,$29,20 min,Sí,No,No,No,"(sin descripción)","Alivio para piernas cansadas disponible como complemento."
Adicionales en Cabina,Mascarilla - 10 min,$15,10 min,No,No,No,No,"(sin descripción)","Mascarilla facial de 10 minutos disponible durante tu sesión."
Adicionales en Cabina,Mascarilla Hidroplástica Casm (20 min) - venta cab,$29,20 min,Sí,No,No,No,"(sin descripción)","Mascarilla hidroplástica de hidratación profunda disponible en cabina."
Paquetes de Masajes,1 masaje deportivo - 45 min,$69,45 min,No,No,No,No,"(sin descripción)","Sesión de masaje deportivo de 45 minutos para aliviar tensión muscular y mejorar la recuperación física."
Paquetes de Masajes,1 masaje moldeador 45 min,$69,45 min,No,No,No,No,"(sin descripción)","Masaje modelador de 45 minutos que trabaja los tejidos para tonificar y definir la silueta."
Paquetes Deluxe,Escape al Cielo,$149,120 min,Sí,Sí,Sí,No,"Escoja entre un Masaje Orient-thai o Escape Indu y combinelo con un ""Oriental Foot Massage"" para refrescar, revitalizar y calmar su mente, cuerpo y alma. 120 minutos $149","Tu pasaporte hacia la serenidad absoluta. Elige entre el Masaje Orient-thai o el Escape Indú y combínalo con nuestro Oriental Foot Massage. Dos horas de tratamientos complementarios que refrescan, revitalizan y calman mente, cuerpo y alma. Una experiencia celestial de bienestar integral."
Paquetes Deluxe,Pies y Cabeza,$69,60 min,Sí,Sí,Sí,No,"Nuestro exclusivo masaje combina un ""Oriental Foot Massage"" con masajes de cuello, hombros y brazos realizados por dos terapeutas. Le garantizamos que saldrá de nuestro spa tan liviano como una mimosa.60 minutos $149","Una experiencia única con dos terapeutas trabajando simultáneamente. Mientras uno practica el arte del masaje oriental en tus pies, el otro alivia cuello, hombros y brazos. Doble atención, doble relajación. Te garantizamos que saldrás sintiéndote tan ligera como una flor de mimosa flotando en la brisa."
Paquetes Deluxe,Pies y Cabeza 2,$69,0 min,No,No,No,No,"(sin descripción)","Variante del paquete Pies y Cabeza con dos terapeutas trabajando en armonía para brindarte el máximo de relajación."
Paquetes Deluxe,Remedio Oriental - 120 min,$149,120 min,Sí,Sí,Sí,No,"Nuestra remedio casero para aliviar Dolores de cabeza, malestares y bloqueos en nuestros centros energéticos. Estimula el sistema inmune y ayuda a desintoxicar el cuerpo. Combinación de Mimosa Detox con un Oriental Foot Massage.","Nuestro secreto ancestral para el bienestar total. Esta combinación de Mimosa Detox y Oriental Foot Massage alivia dolores de cabeza, desbloquea centros energéticos y fortalece tu sistema inmunológico. Dos horas de sanación que desintoxican tu cuerpo y restauran tu vitalidad natural."
Paquetes Deluxe,Viajero Frecuente,$149,120 min,Sí,Sí,Sí,No,"Refresque su ser con nuestro remedio para el ""Jet lag"" o malestar causado por viajes. Combinación de un Mimosa profundo y un ""Oriental Foot Massage"". 120 minutos $149","El antídoto perfecto para el jet lag y el cansancio de viaje. Combinamos el Mimosa Profundo con el Oriental Foot Massage para refrescar tu ser, realinear tu energía y devolverte la vitalidad. Dos horas de tratamiento que te reconectan con tu centro, sin importar cuántas zonas horarias hayas cruzado."
TAI,Masaje Tai Full,$119,90 min,No,No,No,No,"El clásico masaje Tailandes tradicional seguido de un masaje muscular profundo con aceite caliente, ajustado a las diferentes contexturas físicas. Brinda el máximo de descompresión y relax.","La experiencia tailandesa completa. Comenzamos con el tradicional masaje tailandés de estiramientos y presiones, seguido de un trabajo muscular profundo con aceite caliente. Ajustado a tu constitución física para brindarte el máximo de descompresión, flexibilidad y relajación total."
TAI,Masaje Tailandés,$79,60 min,No,No,No,No,"Terapia de movilización y estiramiento, es una técnica rica en torsiones y descompresiones, es un ejercicio pasivo y relajante para mejorar la elasticidad y fortalecimiento de músculos, ligamentos y articulaciones","Un yoga pasivo para tu cuerpo. Esta antigua terapia tailandesa de movilización y estiramiento utiliza torsiones suaves y descompresiones que mejoran la elasticidad, fortalecen músculos, ligamentos y articulaciones. Sal sintiéndote más flexible, liviana y profundamente relajada."
TAI,Shiatsu y Ayurvédico,$89,75 min,No,No,No,No,"se ejecuta con los pies en zona dorsal, es lento, profundo y relajante","Una fusión de tradiciones milenarias. Este masaje único utiliza los pies del terapeuta en tu zona dorsal, creando una presión lenta, profunda y extraordinariamente relajante. Una experiencia de liberación que alcanza capas musculares que las manos no pueden."
Tratamientos Corporales,Aromaterapia - 50min,$69,50 min,Sí,Sí,Sí,No,"(sin descripción)","Déjate transportar por el poder curativo de los aceites esenciales. Este masaje aromático combina técnicas relajantes con esencias naturales cuidadosamente seleccionadas para calmar la mente, equilibrar las emociones y nutrir profundamente tu piel. Una experiencia sensorial que sana cuerpo y alma."
Tratamientos Corporales,Baño de Luna - 120 min,$139,120 min,Sí,Sí,Sí,No,"Consigue una piela suave y tersa, perfumada e hidratada.","Sumérgete en un ritual de belleza nocturna. Este tratamiento de dos horas envuelve tu cuerpo en hidratación profunda, dejando tu piel suave como la seda, delicadamente perfumada y luminosamente tersa. Un baño de luna que transforma tu piel en un manto de suavidad celestial."
Tratamientos Corporales,Day Spa - 150 min,$169,150 min,Sí,Sí,Sí,No,"(sin descripción)","Dos horas y media de escape total. Nuestro Day Spa es la experiencia más completa para quienes buscan renovación integral. Combina múltiples tratamientos en una jornada de mimos, relajación y rejuvenecimiento. Emerge sintiéndote completamente renovada, como después de unas vacaciones para el alma."
Tratamientos Corporales,Drenaje Linfático - 50 min,$69,50 min,Sí,Sí,Sí,No,"(sin descripción)","Activa suavemente tu sistema de limpieza natural. Con movimientos rítmicos y precisos, este masaje especializado estimula el flujo linfático, reduciendo la retención de líquidos, eliminando toxinas y devolviendo ligereza a tu cuerpo. Ideal para deshinchar, desintoxicar y revitalizar."
Tratamientos Corporales,Escape Indú - 60 min,$89,60 min,Sí,Sí,Sí,No,"Transporta tu mente a la mágica india. Este masaje utiliza esencias envueltas en piedras calentadas para hidratar la piel y vitalizar los músculos del cuerpo. EL calor de las pindas es utilizado para brindar un relajamiento profundo y suavizar músculos tensos.","Transporta tu mente a la mística India. Este masaje ancestral utiliza pindas aromáticas calentadas que liberan esencias curativas mientras el calor penetra suavemente en tus músculos. Hidrata tu piel, vitaliza tu cuerpo y suaviza cada tensión. Un viaje sensorial hacia la serenidad más profunda."
Tratamientos Corporales,Escape Indú - 90 min,$119,90 min,Sí,Sí,Sí,No,"Transporta tu mente a la mágica india. Este masaje utiliza esencias envueltas en piedras calentadas para hidratar la piel y vitalizar los músculos del cuerpo. EL calor de las pindas es utilizado para brindar un relajamiento profundo y suavizar músculos tensos.","Un viaje extendido a la mística India. Durante 90 minutos, las pindas aromáticas calentadas trabajan su magia sobre cada músculo, liberando tensiones profundas mientras las esencias curan tu espíritu. Más tiempo para hidratación, vitalización y una relajación que llega hasta el alma."
Tratamientos Corporales,Exfoliación Corporal 20min,$29,20 min,Sí,Sí,Sí,No,"Exfoliación completa del cuerpo con sales.","Renueva tu piel de pies a cabeza con este ritual de exfoliación con sales naturales. Elimina suavemente las células muertas, estimula la circulación y prepara tu piel para absorber mejor los nutrientes. Saldrás sintiéndote como nueva, con una piel suave y resplandeciente."
Tratamientos Corporales,Exfoliación e Hidratación Corporal - 35 min,$49,35 min,Sí,Sí,Sí,No,"(sin descripción)","El dúo perfecto para una piel renovada. Primero, una exfoliación suave elimina impurezas y células muertas; después, una hidratación profunda sella la suavidad en cada poro. Tu piel quedará sedosa, luminosa y lista para recibir el mundo con un nuevo brillo."
Tratamientos Corporales,Hidratación Corporal (15 min),$20,15 min,Sí,Sí,Sí,No,"Se realiza con crema de seda en todo el cuerpo. Aplicado con leve masaje.","Envuelve todo tu cuerpo en una caricia de seda. Esta hidratación express con crema premium y suave masaje deja tu piel aterciopelada, nutrida y delicadamente perfumada. El complemento perfecto para cualquier tratamiento o como mimo rápido para tu piel."
Tratamientos Corporales,Kid Massage 30 min,$40,30 min,Sí,Sí,Sí,No,"Solo Menores de 12 años. Acompañado de Adulto. Solo Lunes a Jueves,","Un masaje suave y divertido diseñado especialmente para los más pequeños. Con técnicas gentiles y movimientos calmantes, ayudamos a los niños a relajarse y descubrir el bienestar. Solo para menores de 12 años, acompañados de un adulto. Disponible de lunes a jueves."
Tratamientos Corporales,Kid Massage 60 min,$65,60 min,Sí,Sí,Sí,No,"Solo menores de 12 años. Acompañado de Adulto. Solo de lunes a jueves.","Una hora de relajación adaptada a los pequeños. Este masaje extendido permite que los niños experimenten todos los beneficios de la relajación muscular con técnicas seguras y suaves. Para menores de 12 años con adulto. De lunes a jueves."
Tratamientos Corporales,Liberador de Tensión 30 min,$49,30 min,Sí,Sí,Sí,No,"(sin descripción)","Deja ir las tensiones acumuladas en espalda, cuello y hombros. Este masaje focalizado trabaja las áreas donde el estrés se instala, liberando nudos y devolviendo flexibilidad a tus músculos. Media hora para soltar cargas y recuperar la ligereza."
Tratamientos Corporales,Liberador de Tensión 45 min,$59,45 min,Sí,Sí,Sí,No,"(sin descripción)","Un alivio más profundo para las tensiones que no quieren soltar. Con 45 minutos dedicados a las zonas de mayor estrés, este masaje terapéutico deshace nudos persistentes, mejora la circulación y restaura la movilidad. Saldrás sintiéndote liberada y renovada."
Tratamientos Corporales,Masaje con Piedras Calientes - 60 min,$79,60 min,Sí,Sí,Sí,No,"Masaje especialmente recomendado en aquellos casos de problemas nerviosos como el estrés, la ansiedad o el insomnio, para los problemas circulatorios, y para aliviar los dolores musculares y articulares, así como en los tratamientos de belleza. 60 minutos $89","El calor ancestral de las piedras volcánicas penetra suavemente en tus músculos, disolviendo tensiones profundas. Este masaje terapéutico es especialmente beneficioso para el estrés, la ansiedad y el insomnio, mejorando la circulación y aliviando dolores musculares. Una experiencia de calma profunda que te reconecta con tu paz interior."
Tratamientos Corporales,Masaje con Piedras Calientes - 90 min,$119,90 min,Sí,Sí,Sí,No,"(sin descripción)","Una hora y media de calor sanador. Las piedras volcánicas calientes se deslizan y permanecen en puntos estratégicos de tu cuerpo, derritiendo tensiones profundas y restaurando el equilibrio energético. Este tiempo extendido permite una relajación más completa y beneficios terapéuticos duraderos. Emerge transformada."
Tratamientos Corporales,Masaje Cráneo Facial - 50 min,$69,50 min,No,No,No,No,"(sin descripción)","Un viaje de relajación que comienza en tu cuero cabelludo y fluye hacia tu rostro. Este masaje especializado libera la tensión acumulada en la cabeza, alivia dolores de cabeza y relaja los músculos faciales. Emerge con una sensación de claridad mental y serenidad profunda."
Tratamientos Corporales,Masaje Oriental de Pies - 30 min,$39,30 min,Sí,No,Sí,No,"(sin descripción)","Descubre el poder sanador de la reflexología en la comodidad de una camilla. Este masaje concentrado en tus pies estimula puntos de energía conectados a todo tu cuerpo, aliviando tensiones y restaurando el equilibrio. Media hora de bienestar que se siente en todo tu ser."
Tratamientos Corporales,Masaje Oriental de Pies - 60 min,$79,60 min,Sí,Sí,Sí,No,"Utilizando el antiguo arte de reflexiologia se estimulan las terminaciones nerviosas en los pies para obtener un bienestar total en el cuerpo. Este masaje ayuda a aliviar dolor de cabeza, estimular el sistema inmunológico, mejorar la circulación sanguínea, por ende, normalizar el funcionamiento de los órganos y glándulas.","Mediante el antiguo arte de la reflexología, este masaje despierta puntos de energía en tus pies conectados a todo tu ser. Alivia dolores de cabeza, fortalece tu sistema inmunológico y mejora la circulación, armonizando el funcionamiento de órganos y glándulas. Un bienestar total que comienza desde la base."
Tratamientos Corporales,Masaje Oriental de Pies en camilla - 30 min,$39,30 min,Sí,Sí,Sí,No,"(sin descripción)","La reflexología oriental en su versión express. Acostada cómodamente en camilla, recibes 30 minutos de estimulación en los puntos reflejos de tus pies, activando el bienestar en todo tu cuerpo. Perfecto cuando el tiempo es limitado pero necesitas reconectarte."
Tratamientos Corporales,Masaje Piernas Cansadas 50 min,$69,50 min,Sí,Sí,Sí,No,"Masaje de Piernas Cansadas en cabina. Se trabaja de medio muslo hacia abajo. Ayuda para desinflamar y circulacion (drenaje linfático).","Alivio para piernas que han cargado con el peso del día. Este masaje especializado trabaja desde el muslo hasta los pies, activando la circulación, reduciendo la hinchazón y devolviendo ligereza a cada paso. Perfecto después de largas jornadas o viajes. Tus piernas te lo agradecerán."
Tratamientos Corporales,Mimosa Detox - 90 min,$119,90 min,Sí,Sí,Sí,No,"Masaje reductor, tonificador y modelador del cuerpo. Por medio del drenaje linfático estimula la circulación sanguínea para eliminar toxinas e impurezas del cuerpo. Restaura la energía y promueve el bienestar general.","Desintoxicación profunda con tiempo para cada zona. Durante 90 minutos, las técnicas de drenaje linfático trabajan meticulosamente para eliminar toxinas, tonificar tejidos y modelar tu silueta. Más tiempo significa mejores resultados: una circulación activada, energía restaurada y un bienestar que se nota por dentro y por fuera."
Tratamientos Corporales,Mimosa Detox - 60 min,$79,60 min,Sí,Sí,Sí,No,"Masaje reductor, tonificador y modelador del cuerpo. Por medio del drenaje linfático estimula la circulación sanguínea para eliminar toxinas e impurezas del cuerpo. Restaura la energía y promueve el bienestar general.","Renueva tu cuerpo desde adentro hacia afuera. Este masaje desintoxicante combina técnicas de drenaje linfático para eliminar toxinas, tonificar los tejidos y modelar suavemente tu silueta. Estimula la circulación, restaura tu energía vital y te deja sintiéndote más ligera, saludable y llena de vitalidad."
Tratamientos Corporales,Mimosa Maternal,$79,60 min,Sí,Sí,Sí,No,"(de 12 a 32 semanas de embarazo) Masaje corporal utilizando técnicas prenatales junto con aceites aromáticos para desinflamar y liberar tensión en espalda, piernas y pies. Almohadones especiales son utilizados para mejor comodidad.","Un abrazo de bienestar para ti y tu bebé. Diseñado especialmente para mamás en espera (semanas 12-32), este masaje prenatal alivia suavemente las tensiones de espalda, piernas y pies con técnicas seguras y aceites aromáticos delicados. Descansa en comodidad total mientras celebramos este hermoso momento de tu vida."
Tratamientos Corporales,Mimosa Profundo - 90 min,$129,90 min,Sí,Sí,Sí,No,"Nuestra propia versión del clásico masaje deportivo. Es un masaje Mediano a fuerte, trabajando los músculos para estimular la circulación sanguínea y liberar tensión. Perfecto para aliviar rigidez y dolores músculares debido a deportes o estrés cotidiano.","Alivio profundo para quienes necesitan más. Con 90 minutos de trabajo muscular intensivo, cada grupo de músculos recibe la atención que necesita. Presión firme, técnicas precisas y tiempo suficiente para liberar incluso las tensiones más persistentes. El tratamiento ideal para deportistas y quienes viven con estrés acumulado."
Tratamientos Corporales,Mimosa Profundo - 60 min,$89,60 min,Sí,Sí,Sí,No,"Nuestra propia versión del clásico masaje deportivo. Es un masaje Mediano a fuerte, trabajando los músculos para estimular la circulación sanguínea y liberar tensión. Perfecto para aliviar rigidez y dolores músculares debido a deportes o estrés cotidiano.","Nuestra versión del masaje deportivo, diseñada para quienes necesitan un alivio profundo. Con presión media a firme, trabajamos cada músculo para liberar rigidez, estimular la circulación y disolver tensiones acumuladas por el deporte o el estrés diario. Sal sintiéndote desbloqueada y revitalizada."
Tratamientos Corporales,Mimosa Relax - 60 min,$79,60 min,Sí,Sí,Sí,No,"Un masaje relajante a base de aceites aromáticos para aliviar dolores y molestias musculares por medio de las manos calificadas de nuestros expertos terapeutas.","Sumérgete en un océano de calma. Nuestros expertos terapeutas utilizan aceites aromáticos premium y técnicas fluidas para disolver tensiones musculares y aquietar tu mente. Cada movimiento te lleva más profundo hacia un estado de relajación total. El regalo perfecto que mereces darte."
Tratamientos Corporales,Mimosa Relax - 90 min,$109,90 min,Sí,Sí,Sí,No,"Un masaje relajante a base de aceites aromáticos para aliviar dolores y molestias musculares por medio de las manos calificadas de nuestros expertos terapeutas.","Una hora y media de pura serenidad. Nuestros terapeutas expertos te envuelven en aceites aromáticos mientras sus manos calificadas recorren cada zona de tensión con dedicación. Tiempo suficiente para que cuerpo y mente alcancen un estado de relajación profunda y duradera. El bienestar completo que mereces."
Tratamientos Faciales,Facial Anti-age,$69,60 min,Sí,Sí,Sí,No,"(sin descripción)","Abraza el paso del tiempo con gracia y belleza. Este tratamiento antiedad combina técnicas rejuvenecedoras y activos premium para suavizar líneas finas, restaurar la firmeza y devolver a tu rostro un resplandor juvenil. Porque cada etapa de tu vida merece celebrarse con una piel radiante."
Tratamientos Faciales,Facial de Limpieza Express - 30 min,$29,30 min,Sí,Sí,Sí,No,"Una limpieza facial para mantener tu piel libre de radicales y el estrés diario.","Regálale a tu rostro un respiro revitalizante. Esta limpieza express elimina suavemente las impurezas del día, dejando tu piel fresca, luminosa y lista para brillar. Perfecta para tu rutina semanal de autocuidado."
Tratamientos Faciales,Facial de Limpieza Profundo - 60 min,$59,60 min,Sí,Sí,Sí,No,"Una limpieza facial profunda con extracción para una piel sana y radiante. 60 minutos $79","Una experiencia completa de purificación para tu rostro. Con extracción profesional y cuidados especializados, este tratamiento libera tus poros de impurezas profundas, revelando una piel clara, suave y visiblemente más saludable. Tu piel respirará con libertad."
Tratamientos Faciales,Facial Detox,$49,30 min,Sí,Sí,Sí,No,"(sin descripción)","Libera tu piel de las toxinas acumuladas con este facial purificante. Mediante técnicas suaves y productos naturales, tu rostro recuperará su equilibrio natural, luciendo más claro, saludable y lleno de vida. Una desintoxicación que se siente como un nuevo comienzo."
Tratamientos Faciales,Facial Hidratación Intensa,$69,60 min,Sí,Sí,Sí,No,"Frutas y Flores se fusionan para nutrir y entregar a tu piel lo mejor de la naturaleza. 60 minutos $69","Frutas y flores se fusionan en este ritual de nutrición profunda, entregando a tu piel lo mejor de la naturaleza. Cada aplicación es una caricia de hidratación que penetra hasta las capas más sedientas, dejando tu rostro suave, flexible y radiante como un jardín en primavera."
Tratamientos Faciales,Facial Profundo con Aparatología,$79,60 min,Sí,Sí,Sí,No,"limpiador, exfoliante, tonico, desincrustante, vapor, extraccion profunda, peeling ultrasonico, alta frecuencia, microdermabrasion, mascarilla, equipo luz led, masaje facial cuello y hombros.","La experiencia facial más completa que tu piel puede recibir. Combinamos tecnología de vanguardia con técnicas artesanales: vapor purificante, extracción profunda, peeling ultrasónico, microdermabrasión y terapia LED. Incluye un relajante masaje de cuello y hombros. Tu piel emergerá transformada, luminosa y profundamente renovada."
Tratamientos Faciales,Kid Facial 30 min,$25,30 min,Sí,Sí,Sí,No,"Solo para menores de 12 años. Acompañado de adulto. Solo de lunes a jueves.","Un facial suave y divertido diseñado para los más pequeños. Con productos gentiles y técnicas adaptadas, los niños descubren el placer del cuidado de la piel en un ambiente seguro y relajante. Para menores de 12 años con adulto. De lunes a jueves."
Tratamientos Faciales,Kid Facial 60 min,$45,60 min,Sí,Sí,Sí,No,"(sin descripción)","Una hora de cuidado facial adaptado a la piel joven. Este tratamiento extendido permite una limpieza más completa y una experiencia de spa que los niños recordarán. Productos suaves, técnicas gentiles y mucha relajación. Para menores de 12 años con adulto."
Tratamientos Faciales,Luz Led - Led Therapy - 20 min,$29,20 min,No,No,No,No,"(sin descripción)","Potencia los resultados de tu tratamiento facial con tecnología de luz LED. Esta terapia no invasiva estimula la regeneración celular, reduce la inflamación y mejora visiblemente la textura y tono de tu piel."
Tratamientos Faciales,Mascarilla Hidroplástica - 20 min,$29,20 min,Sí,Sí,Sí,No,"Mascarilla Hidroplástica ","Sumérgete en un baño de hidratación profunda con nuestra mascarilla hidroplástica. Este tratamiento envolvente sella la humedad en tu piel, dejándola suave como pétalos y visiblemente rejuvenecida. Un momento de calma para tu rostro."
Tratamientos Faciales,Óvalo Perfecto,$69,60 min,Sí,Sí,Sí,No,"Tratamiento que redibuja el ovalo facial, ayuda a preservar sus contornos y alisar el escote.","Esculpe naturalmente los contornos de tu rostro con este tratamiento reafirmante. Mediante técnicas especializadas, redefinimos suavemente el óvalo facial, preservando su elegancia natural mientras alisamos y rejuvenecemos el escote. Un abrazo lifting para tu belleza natural."
Tratamientos Faciales,Oxigenación / facial con extracción,$69,0 min,No,No,No,No,"(sin descripción)","Revitaliza tu piel con una infusión de oxígeno puro. Este facial combina extracción profesional con tecnología de oxigenación para purificar, iluminar y dar nueva vida a tu rostro. Ideal para pieles apagadas que necesitan despertar."
Tratamientos Faciales,Tratamiento Contorno de Ojos - 40 min,$39,40 min,Sí,Sí,Sí,No,"Tratamiento indispensable para reducir las ojeras y la inflamación provocada por el cansancio. 40 minutos $39","Despierta la luminosidad de tu mirada. Este tratamiento especializado reduce suavemente las ojeras y la hinchazón, devolviendo frescura y vitalidad al área más expresiva de tu rostro. Ideal para recuperar ese brillo natural en tu mirada."
Tratamientos Parejas,Escape Indú Pareja - 90 min,$99,90 min,No,No,No,No,"(sin descripción)","Compartan un viaje a la mística India. Dos terapeutas trabajan en sincronía mientras las pindas aromáticas calentadas liberan sus esencias curativas. 90 minutos de conexión, relajación y bienestar compartido que fortalece los lazos mientras nutre cuerpo y alma."
Tratamientos Parejas,Mimosa Detox Pareja - 60 min,$79,60 min,No,No,No,No,"(sin descripción)","Desintoxicación y renovación para dos. Compartan esta experiencia de drenaje linfático y tonificación mientras sus cuerpos liberan toxinas y recuperan vitalidad. Una hora de bienestar compartido que los deja a ambos sintiéndose ligeros y revitalizados."
Tratamientos Parejas,Mimosa Detox Pareja - 90 min,$99,90 min,No,No,No,No,"(sin descripción)","Una experiencia detox extendida para parejas. Durante 90 minutos, ambos reciben tratamientos de drenaje linfático y tonificación, eliminando toxinas y restaurando energía. Más tiempo para profundizar en el bienestar y disfrutar juntos de la renovación."
Tratamientos Parejas,Mimosa Profundo Pareja - 60 min,$79,60 min,No,No,No,No,"Nuestra propia versión del clásico masaje deportivo. Es un masaje Mediano a fuerte, trabajando los músculos para estimular la circulación sanguínea y liberar tensión. Perfecto para aliviar rigidez y dolores músculares debido a deportes o estrés cotidiano.","Liberación muscular profunda para dos. Compartan esta experiencia de masaje deportivo mientras terapeutas expertos trabajan sus músculos con presión firme. Ideal para parejas activas que buscan alivio de tensiones juntos."
Tratamientos Parejas,Mimosa Profundo Pareja - 90 min,$99,90 min,No,No,No,No,"(sin descripción)","Alivio muscular extendido para parejas. Con 90 minutos de trabajo profundo, ambos reciben atención completa en cada grupo muscular. Perfecto para liberar tensiones acumuladas y reconectarse en un espacio de bienestar compartido."
Tratamientos Parejas,Mimosa Relax - Pareja - 60 min,$79,60 min,No,No,No,No,"(sin descripción)","Una hora de relajación compartida. Dos terapeutas trabajan en sincronía mientras ambos se sumergen en un masaje con aceites aromáticos. El momento perfecto para desconectarse del mundo y reconectarse el uno con el otro."
Tratamientos Parejas,Mimosa Relax - Pareja 90 min,$99,90 min,No,No,No,No,"(sin descripción)","Noventa minutos de serenidad para dos. Sumérjanse juntos en esta experiencia extendida de relajación con aceites aromáticos. Tiempo suficiente para que ambos alcancen un estado de paz profunda mientras fortalecen su conexión."
