Category,Treatment Name,Duration,Price,Current Description,Proposed Description
Corporales,Exfoliación Corporal,20 min,$29,"Exfoliación completa del cuerpo con sales.","Renueva tu piel de pies a cabeza con este ritual de exfoliación con sales naturales. Elimina suavemente las células muertas, estimula la circulación y prepara tu piel para absorber mejor los nutrientes. Saldrás sintiéndote como nueva, con una piel suave y resplandeciente."
Corporales,Masaje Oriental de Pies en camilla,30 min,$39,"(sin descripción)","Descubre el poder sanador de la reflexología en la comodidad de una camilla. Este masaje concentrado en tus pies estimula puntos de energía conectados a todo tu cuerpo, aliviando tensiones y restaurando el equilibrio. Media hora de bienestar que se siente en todo tu ser."
Corporales,Exfoliación e Hidratación Corporal,35 min,$49,"(sin descripción)","El dúo perfecto para una piel renovada. Primero, una exfoliación suave elimina impurezas y células muertas; después, una hidratación profunda sella la suavidad en cada poro. Tu piel quedará sedosa, luminosa y lista para recibir el mundo con un nuevo brillo."
Corporales,Liberador de Tensión 30 min,30 min,$49,"(sin descripción)","Deja ir las tensiones acumuladas en espalda, cuello y hombros. Este masaje focalizado trabaja las áreas donde el estrés se instala, liberando nudos y devolviendo flexibilidad a tus músculos. Media hora para soltar cargas y recuperar la ligereza."
Corporales,Liberador de Tensión 45 min,45 min,$59,"(sin descripción)","Un alivio más profundo para las tensiones que no quieren soltar. Con 45 minutos dedicados a las zonas de mayor estrés, este masaje terapéutico deshace nudos persistentes, mejora la circulación y restaura la movilidad. Saldrás sintiéndote liberada y renovada."
Corporales,Aromaterapia,50 min,$69,"(sin descripción)","Déjate transportar por el poder curativo de los aceites esenciales. Este masaje aromático combina técnicas relajantes con esencias naturales cuidadosamente seleccionadas para calmar la mente, equilibrar las emociones y nutrir profundamente tu piel. Una experiencia sensorial que sana cuerpo y alma."
Corporales,Drenaje Linfático,50 min,$69,"(sin descripción)","Activa suavemente tu sistema de limpieza natural. Con movimientos rítmicos y precisos, este masaje especializado estimula el flujo linfático, reduciendo la retención de líquidos, eliminando toxinas y devolviendo ligereza a tu cuerpo. Ideal para deshinchar, desintoxicar y revitalizar."
Corporales,Masaje Cráneo Facial,50 min,$69,"(sin descripción)","Un viaje de relajación que comienza en tu cuero cabelludo y fluye hacia tu rostro. Este masaje especializado libera la tensión acumulada en la cabeza, alivia dolores de cabeza y relaja los músculos faciales. Emerge con una sensación de claridad mental y serenidad profunda."
Corporales,Masaje Piernas Cansadas,50 min,$69,"Masaje de Piernas Cansadas en cabina. Se trabaja de medio muslo hacia abajo. Ayuda para desinflamar y circulacion (drenaje linfático).","Alivio para piernas que han cargado con el peso del día. Este masaje especializado trabaja desde el muslo hasta los pies, activando la circulación, reduciendo la hinchazón y devolviendo ligereza a cada paso. Perfecto después de largas jornadas o viajes. Tus piernas te lo agradecerán."
Corporales,Masaje con Piedras Calientes - 60 min,60 min,$79,"Masaje especialmente recomendado en aquellos casos de problemas nerviosos como el estrés, la ansiedad o el insomnio, para los problemas circulatorios, y para aliviar los dolores musculares y articulares, así como en los tratamientos de belleza. 60 minutos $89","El calor ancestral de las piedras volcánicas penetra suavemente en tus músculos, disolviendo tensiones profundas. Este masaje terapéutico es especialmente beneficioso para el estrés, la ansiedad y el insomnio, mejorando la circulación y aliviando dolores musculares. Una experiencia de calma profunda que te reconecta con tu paz interior."
Corporales,Mimosa Maternal,60 min,$79,"(de 12 a 32 semanas de embarazo) Masaje corporal utilizando técnicas prenatales junto con aceites aromáticos para desinflamar y liberar tensión en espalda, piernas y pies. Almohadones especiales son utilizados para mejor comodidad.","Un abrazo de bienestar para ti y tu bebé. Diseñado especialmente para mamás en espera (semanas 12-32), este masaje prenatal alivia suavemente las tensiones de espalda, piernas y pies con técnicas seguras y aceites aromáticos delicados. Descansa en comodidad total mientras celebramos este hermoso momento de tu vida."
Corporales,Masaje Oriental de Pies - 60 min,60 min,$79,"Utilizando el antiguo arte de reflexiologia se estimulan las terminaciones nerviosas en los pies para obtener un bienestar total en el cuerpo. Este masaje ayuda a aliviar dolor de cabeza, estimular el sistema inmunológico, mejorar la circulación sanguínea, por ende, normalizar el funcionamiento de los órganos y glándulas.","Mediante el antiguo arte de la reflexología, este masaje despierta puntos de energía en tus pies conectados a todo tu ser. Alivia dolores de cabeza, fortalece tu sistema inmunológico y mejora la circulación, armonizando el funcionamiento de órganos y glándulas. Un bienestar total que comienza desde la base."
Corporales,Mimosa Detox - 60 min,60 min,$79,"Masaje reductor, tonificador y modelador del cuerpo. Por medio del drenaje linfático estimula la circulación sanguínea para eliminar toxinas e impurezas del cuerpo. Restaura la energía y promueve el bienestar general.","Renueva tu cuerpo desde adentro hacia afuera. Este masaje desintoxicante combina técnicas de drenaje linfático para eliminar toxinas, tonificar los tejidos y modelar suavemente tu silueta. Estimula la circulación, restaura tu energía vital y te deja sintiéndote más ligera, saludable y llena de vitalidad."
Corporales,Mimosa Relax - 60 min,60 min,$79,"Un masaje relajante a base de aceites aromáticos para aliviar dolores y molestias musculares por medio de las manos calificadas de nuestros expertos terapeutas.","Sumérgete en un océano de calma. Nuestros expertos terapeutas utilizan aceites aromáticos premium y técnicas fluidas para disolver tensiones musculares y aquietar tu mente. Cada movimiento te lleva más profundo hacia un estado de relajación total. El regalo perfecto que mereces darte."
Corporales,Escape Indú - 60 min,60 min,$89,"Transporta tu mente a la mágica india. Este masaje utiliza esencias envueltas en piedras calentadas para hidratar la piel y vitalizar los músculos del cuerpo. EL calor de las pindas es utilizado para brindar un relajamiento profundo y suavizar músculos tensos.","Transporta tu mente a la mística India. Este masaje ancestral utiliza pindas aromáticas calentadas que liberan esencias curativas mientras el calor penetra suavemente en tus músculos. Hidrata tu piel, vitaliza tu cuerpo y suaviza cada tensión. Un viaje sensorial hacia la serenidad más profunda."
Corporales,Mimosa Profundo - 60 min,60 min,$89,"Nuestra propia versión del clásico masaje deportivo. Es un masaje Mediano a fuerte, trabajando los músculos para estimular la circulación sanguínea y liberar tensión. Perfecto para aliviar rigidez y dolores músculares debido a deportes o estrés cotidiano.","Nuestra versión del masaje deportivo, diseñada para quienes necesitan un alivio profundo. Con presión media a firme, trabajamos cada músculo para liberar rigidez, estimular la circulación y disolver tensiones acumuladas por el deporte o el estrés diario. Sal sintiéndote desbloqueada y revitalizada."
Corporales,Mimosa Relax - 90 min,90 min,$109,"Un masaje relajante a base de aceites aromáticos para aliviar dolores y molestias musculares por medio de las manos calificadas de nuestros expertos terapeutas.","Una hora y media de pura serenidad. Nuestros terapeutas expertos te envuelven en aceites aromáticos mientras sus manos calificadas recorren cada zona de tensión con dedicación. Tiempo suficiente para que cuerpo y mente alcancen un estado de relajación profunda y duradera. El bienestar completo que mereces."
Corporales,Escape Indú - 90 min,90 min,$119,"Transporta tu mente a la mágica india. Este masaje utiliza esencias envueltas en piedras calentadas para hidratar la piel y vitalizar los músculos del cuerpo. EL calor de las pindas es utilizado para brindar un relajamiento profundo y suavizar músculos tensos.","Un viaje extendido a la mística India. Durante 90 minutos, las pindas aromáticas calentadas trabajan su magia sobre cada músculo, liberando tensiones profundas mientras las esencias curan tu espíritu. Más tiempo para hidratación, vitalización y una relajación que llega hasta el alma."
Corporales,Masaje con Piedras Calientes - 90 min,90 min,$119,"(sin descripción)","Una hora y media de calor sanador. Las piedras volcánicas calientes se deslizan y permanecen en puntos estratégicos de tu cuerpo, derritiendo tensiones profundas y restaurando el equilibrio energético. Este tiempo extendido permite una relajación más completa y beneficios terapéuticos duraderos. Emerge transformada."
Corporales,Mimosa Detox - 90 min,90 min,$119,"Masaje reductor, tonificador y modelador del cuerpo. Por medio del drenaje linfático estimula la circulación sanguínea para eliminar toxinas e impurezas del cuerpo. Restaura la energía y promueve el bienestar general.","Desintoxicación profunda con tiempo para cada zona. Durante 90 minutos, las técnicas de drenaje linfático trabajan meticulosamente para eliminar toxinas, tonificar tejidos y modelar tu silueta. Más tiempo significa mejores resultados: una circulación activada, energía restaurada y un bienestar que se nota por dentro y por fuera."
Corporales,Mimosa Profundo - 90 min,90 min,$129,"Nuestra propia versión del clásico masaje deportivo. Es un masaje Mediano a fuerte, trabajando los músculos para estimular la circulación sanguínea y liberar tensión. Perfecto para aliviar rigidez y dolores músculares debido a deportes o estrés cotidiano.","Alivio profundo para quienes necesitan más. Con 90 minutos de trabajo muscular intensivo, cada grupo de músculos recibe la atención que necesita. Presión firme, técnicas precisas y tiempo suficiente para liberar incluso las tensiones más persistentes. El tratamiento ideal para deportistas y quienes viven con estrés acumulado."
Corporales,Baño de Luna,120 min,$139,"Consigue una piela suave y tersa, perfumada e hidratada.","Sumérgete en un ritual de belleza nocturna. Este tratamiento de dos horas envuelve tu cuerpo en hidratación profunda, dejando tu piel suave como la seda, delicadamente perfumada y luminosamente tersa. Un baño de luna que transforma tu piel en un manto de suavidad celestial."
Corporales,Pies y Cabeza,60 min,$69,"Nuestro exclusivo masaje combina un ""Oriental Foot Massage"" con masajes de cuello, hombros y brazos realizados por dos terapeutas. Le garantizamos que saldrá de nuestro spa tan liviano como una mimosa.60 minutos $149","Una experiencia única con dos terapeutas trabajando simultáneamente. Mientras uno practica el arte del masaje oriental en tus pies, el otro alivia cuello, hombros y brazos. Doble atención, doble relajación. Te garantizamos que saldrás sintiéndote tan ligera como una flor de mimosa flotando en la brisa."
Corporales,Escape al Cielo,120 min,$149,"Escoja entre un Masaje Orient-thai o Escape Indu y combinelo con un ""Oriental Foot Massage"" para refrescar, revitalizar y calmar su mente, cuerpo y alma. 120 minutos $149","Tu pasaporte hacia la serenidad absoluta. Elige entre el Masaje Orient-thai o el Escape Indú y combínalo con nuestro Oriental Foot Massage. Dos horas de tratamientos complementarios que refrescan, revitalizan y calman mente, cuerpo y alma. Una experiencia celestial de bienestar integral."
Corporales,Remedio Oriental,120 min,$149,"Nuestra remedio casero para aliviar Dolores de cabeza, malestares y bloqueos en nuestros centros energéticos. Estimula el sistema inmune y ayuda a desintoxicar el cuerpo. Combinación de Mimosa Detox con un Oriental Foot Massage.","Nuestro secreto ancestral para el bienestar total. Esta combinación de Mimosa Detox y Oriental Foot Massage alivia dolores de cabeza, desbloquea centros energéticos y fortalece tu sistema inmunológico. Dos horas de sanación que desintoxican tu cuerpo y restauran tu vitalidad natural."
Corporales,Viajero Frecuente,120 min,$149,"Refresque su ser con nuestro remedio para el ""Jet lag"" o malestar causado por viajes. Combinación de un Mimosa profundo y un ""Oriental Foot Massage"". 120 minutos $149","El antídoto perfecto para el jet lag y el cansancio de viaje. Combinamos el Mimosa Profundo con el Oriental Foot Massage para refrescar tu ser, realinear tu energía y devolverte la vitalidad. Dos horas de tratamiento que te reconectan con tu centro, sin importar cuántas zonas horarias hayas cruzado."
Corporales,Day Spa,150 min,$169,"(sin descripción)","Dos horas y media de escape total. Nuestro Day Spa es la experiencia más completa para quienes buscan renovación integral. Combina múltiples tratamientos en una jornada de mimos, relajación y rejuvenecimiento. Emerge sintiéndote completamente renovada, como después de unas vacaciones para el alma."
